id,price,moonRank,💎 score (%),storeURL,Background,Eyes,Fur,Hair,Mouth,Necklace
8863,2.5,7279,55.25,https://magiceden.io/item-details/KR9VefrZYr6M8LWosS9ssLUJDHAjTabATEgYsL1Qx7W,Grey II,Squid Circle,Tiger,Default Hair,Cute Mouth,Rogue Sharks
8930,3,3872,63.85,https://alpha.art/t/Fn17Mp18rxzhVH6v8N96wr6dq2o6uc2cKYYjANkiom2U,Green,Closed eyes,Gold,Lion Mane,Fish Mouth,Rogue Sharks
8934,2.3,4868,66.87,https://magiceden.io/item-details/rqDst8ei4P6342h3ZFcbrG8SaH3SCc4mCxauBGpACNQ,Hot Pink II,Gold Laser Eyes,Trippy  2,Tall Block Afro,Cute Mouth,Solana Necklace
8951,1.46,6143,70.19,https://magiceden.io/item-details/4Td4TGBcDpvTbiGj6J71HDWgy1tLStvAhXYPJsBGkz3C,Green,Justin Sun Eyes,Green,Default Hair,Pizza,Solana Necklace
8955,4,8352,35.97,https://alpha.art/t/4VJceQmK1uTcTEyarU8VedyfQEmT3JENep3oDzZ8ZX4r,Blue,Angry Eyes,Red,Dreadlocks,Sherlock pipe,Sollamas
8960,17,5877,0,https://alpha.art/t/5Db2RtrDjrKMY7Gr71dVi8doYDvPgvwRqchhHwfjBSDk,Blue,3 Bars Eyes,Zebra,Dreadlocks,Pizza,Solana Necklace
8970,1.69,9499,54.49,https://magiceden.io/item-details/2iLoPoR7g2GXA9LhNQxQnKiLTqk6TLJnVuTaUqmHbETe,Blue,Gold Laser Eyes,Dark Brown,Default Hair,Vape,Geckos
8992,2.32,9266,49.12,https://magiceden.io/item-details/4W7XmUgRBERaL2MgbG7ojFB2t8Ci873tDRnrvQfoAfgc,Blue,Solana Coin Eyes,Red,Dreadlocks,Sick Mouth,Penguins
9002,1.942,4522,71.84,https://magiceden.io/item-details/GP9SHVj5wicATbNtSjEFD3EMaJ7cYjvVdHbG4Ed1nHUS,Purple Amber Synesthesia  II,Justin Sun Eyes,Red,Default Hair,Pizza,OOGA Chain
9006,1.2,7242,68.4,https://magiceden.io/item-details/D5PT9zTMyEtmhEZMAcQCczJLFTWu6EQ3RqSKG3AySUp2,Grey II,Gold Laser Eyes,Pink,Default Hair,Vape,Penguins
9016,2.89,8433,46.75,https://alpha.art/t/76srH3oFQFhP2aJjP2WF3sYi5hYarSZwPTDwaD5xMPq6,Purple Amber Synesthesia  II,Zombie Eyes,Dark Brown,Dreadlocks,Sick Mouth,
9042,2.5,2834,72.99,https://magiceden.io/item-details/gAQafYSqq5mF5QsMdx6hSHXXQTsaD7EmNU9t4WkqqVg,Red II,Robot Eyes,Grey,Flock of Seagulls,Zombie Mouth,Geckos
