id,price,moonRank,💎 score (%),storeURL,Background,Eyes,Headware,Item,Mouth,Outfit,Skin
4062,4,286,62.91,https://solanart.io/nft/GZrYopPoy4Jfg5Ht5Chh9fXqmj62u6mpZVu1cBEkuy69,Rare Kanji,Yellow Hypmotised,Blue Optics,Cyber Umbrella,No Accessory,Cyber Policesuit,Green + Blue Wiring
4065,3,2854,61.35,https://solanart.io/nft/DL3u5S1XKRbtqJEzedPdqD21GJo9HcGpBJx9k9TBHfcW,Red,Brown,Green Visor,Baseball Bat,Mustache,Blue Flannel,Black Robotic
4078,2,6351,55.61,https://solanart.io/nft/7kFgqMJbqhtDFTU2Md1FufAiyLyXjGTbxgidGhwk57Jv,Purple Rain,Green,Helmet With Antlers,Lantern,No Accessory,Tracksuit,Black Robotic
4086,2.2,8034,46.04,https://solanart.io/nft/EYF3eHDXxhCSP3ydQNzR5wVsLUumJbpJnmaKP7TR5Zr7,Purple,Black Hypmotised,Black Motorbike Helmet,Lantern,No Accessory,Tracksuit,Green
4089,2,4596,63.51,https://magiceden.io/item-details/BnfesLCFL6KgnXKE4Kppts3MFAV4NH5WiiHrdyxvmYVq,Pink Neon Kanji,Spirit,Red Motorbike Helmet,Rambo Dagger,No Accessory,Winter Coat,Sand Cyber Suit
4093,1.099,3135,79.1,https://solanart.io/nft/ANdkVbVE5NqZWGYuNwX7tj1T99nWhkG3cX2Cq6K8AwpJ,Salmon,Stoned,Orange Ski Goggles,Umbrella,Mustache,White Robe,Mud
4094,4.5,1568,52.14,https://solanart.io/nft/8aJF5HhprJDg9ec798B8nrrxqs6SWYCs5YcZYYKuEPmX,Light Green,Brown,Blue Ski Goggles,Leafy Stick,Toothpick,No Outfit,Galaxy
4113,2.99,1643,66.9,https://solanart.io/nft/5J2HLHZGnDnEVirJpwdHCfbTjAkZS993wMWnSpDkiNh2,Yellow,Cyber,Red Optics,Leafy Stick,Toothpick,Shirt and Tie,Blue
4116,7.85,8633,0,https://solanart.io/nft/9mKZzs571w1c1YDRvT2GdrRtRps25CBW7PY3GrYdqLT,Yellow,Black Hypmotised,Black Ski Mask,Naginata,No Accessory,White Tshirt,Blue
4122,5.9,1760,37.28,https://solanart.io/nft/7BUJN1e6UhiFyk9jU3bMMKphgXJW93XKHqV1N8nQt368,Light Green,Blue,Helmet With Antlers,Rambo Dagger,Beard,Solana Tshirt,Green + Blue Wiring
4126,8,7283,0,https://solanart.io/nft/9WvRnhnNuJ9bxoGTwC2ccGFcYXR3mQSqXwuRJ3H1qVYH,Purple Rain,Black Hypmotised,Blue Ski Goggles,Lantern,No Accessory,Green Flannel,Pink
4158,49,726,0,https://solanart.io/nft/5y6p6KHQwXV6HHzikswLeUUXvUZreus65FyG6F4xpN8c,Red,Possessed,Helmet With Antlers,Handgun,Bamboo Bong,White Tshirt,Ghost
4173,1,4480,74.04,https://alpha.art/t/2euH1DKHtdu1eHPQJAqSn31N8aWMzRFxFzVqR8CbMDjH,Red,Yellow,Boony Hat,Leafy Stick,Gas Mask,Bandoiler,Half Robotic
4182,1.2,4214,73.23,https://magiceden.io/item-details/DzLR5pXLQdXbFwmihL6yuyooBsmSdmowiTsvHxPjzdWp,Red,Blue,No Headwear,Assault Rifle,French Mustache,Hawaiian Shirt,Mud
4198,6,4193,25.33,https://solanart.io/nft/5T3rfWhFkJjkU9ZYGRM6HAWNzu93xPBhSQi3wuvG1RBY,Blue Neon Kanji,Brown,Blue Singular Optic,Modded Naginata,Chewing Wheat,BOGO Tshirt,Demon
4201,4.5,3310,44.3,https://alpha.art/t/4PBo2kM31ZVu8DEKSETnX8XypRTPzuopc7PVmNjPuts9,Purple,Yellow Hypmotised,Blue Singular Optic,Naginata,Goatee,Tracksuit,Green
4204,1.66,6858,56.73,https://magiceden.io/item-details/G4ZbskLL8aTUjSwHP9ddfDytuaK9meZfYbrdX6ovseYv,Yellow,Bloodshot,Hannya Mask,Katana,No Accessory,Leather Jacket,Green
4209,4,1586,57.06,https://solanart.io/nft/GamutWLjAGStMX9PTnBTZNyoaiXusHbNGoUxNRCCFnzp,Yellow,Possessed,Blue Ski Goggles,Baseball Bat,Gas Mask,Winter Coat,Blue
4212,0.95,6272,66.47,https://magiceden.io/item-details/eHd9b6ytCtSL6PsQARj55vtSUDnxVUcFXfEe6e12VXp,Cherry Blossoms,Brown,Green Headphones,Lantern,Chewing Wheat,Red Samurai Armour,Mud
4216,3.5,4975,46.81,https://solanart.io/nft/4Ytcm2dFnf1QffYome3GqzRLxmX4T9AxVxd1H6PNnUYA,Blue Rain,Green,Green Visor,Baseball Bat,Gas Mask,White Tshirt,Mud
4245,5,3009,40.66,https://solanart.io/nft/H86CiKCi9oUg2FA64eC9A4DjEELp7tf3PbgFf84muHfy,Blue Rain,Ghost,Orange Ski Goggles,Assault Rifle,Toothpick,Green Flannel,Pink
4248,5,3206,39.77,https://solanart.io/nft/C6C8vFTW8ojwniSo3mQ886ANpo8cMrZMjKday8Rde12E,Red,Bloodshot,Blue Ski Goggles,Mantis Blade,No Accessory,Winter Coat,Black
4249,3,6244,46.1,https://solanart.io/nft/H4zv3G7FBD3VHYjzieTZYo8Dk4WZSJPk9R81ghVvRhMB,Yellow,Spirit,Green Headphones,Leafy Stick,Pipe,Tracksuit,Pink
4280,50,2758,0,https://solanart.io/nft/5wqYov2gzyeBQpgK6HW8jPzJDiLT11uc7eBpS35kaugh,Rare Kanji,Spirit,White Ski Mask,Cold Yakitori,No Accessory,Blue Flannel,Black
4287,1.5,5891,62.68,https://solanart.io/nft/6s9NBUKsvNH7sCc2NnNy3LN45gLVtzPG7S4zn8X77VqM,Yellow,Green,Red Optics,Rambo Dagger,Toothpick,White Robe,Blue
4301,4.5,8159,22.48,https://alpha.art/t/GPrXr2U3Ld91a3No4gn1D7ixkaoK486Tc3LuqBsRPvyF,Pink Neon Kanji,Brown,Hannya Mask,Hot Yakitori,No Accessory,Blue Flannel,Mud
4307,0.6,8830,58.46,https://alpha.art/t/BtWyPY3bCh1XBMiBia54dfon8jME2W5KBkADKCwxoWng,Light Green,Brown,Black Motorbike Helmet,Umbrella,No Accessory,White Tshirt,Mud
4325,5,4338,34.67,https://solanart.io/nft/5sfUHXbPNjWcAnZ6wX6ELChV7Hsrq6H6XMGnGLRGdNLt,Purple,Yellow Hypmotised,No Headwear,Handgun,Pipe,Red Racer Vest,Blue
4346,1.6,1411,81.85,https://solanart.io/nft/G547e1HCwxMz8yWUS4VtWdpBLuQ9HG8SzgvDZ93TJywz,Blue,Brown,Scar,Leafy Stick,French Mustache,Red Racer Vest,Green + Blue Wiring
4361,2,2770,71.73,https://magiceden.io/item-details/8t7zT5ZzDRuVQtD9ERNJNC9P5ZxH9eqnBxKwzMsSnaRN,Red,Possessed,Green Headphones,Spear,Bamboo Bong,Cyber Policesuit,Blue
4363,1,4005,76.17,https://solanart.io/nft/DUryJUNGoQdTHkz6q6ceghij7vxkwjBSJxfchTXzuR1w,Blue Neon Kanji,Blue,Boony Hat,Lantern,Surgical Mask,Caveman,Black
4387,96,3276,0,https://solanart.io/nft/Dm7R4zkjWNdsSRVWQeETr41JvhkKZuUd7DhNY6ViCW5W,Cherry Blossoms,Bloodshot,Cyberwear,Naginata,No Accessory,Red Racer Vest,Green Cyber Suit
4388,12,375,0,https://solanart.io/nft/4rknyp7jTi6SKYyco63UYNHqkfE6qEuBg9t4UXst51hh,Dark Green,Ghost,Cowboy Hat,Spear,Chewing Bamboo,Tracksuit,Black Tattooed
4392,3,6219,46.21,https://solanart.io/nft/A6BtsvGxP7NqnFMpeGpPEp8vZykZZSr7iyQVj7A7iXn3,Pink Neon Kanji,Yellow Hypmotised,Red Motorbike Helmet,Modded Naginata,No Accessory,Green Flannel,Mud
4399,4,6840,33.41,https://solanart.io/nft/GoiJuDCnD8pKFDDgodvbEXEH2GwqYRMTUThzEPdB85X6,Red,Brown,Blue Singular Optic,Assault Rifle,Chewing Wheat,Bloody Robe,Mud
4408,1.3,4290,71.89,https://magiceden.io/item-details/DE9miDoXChQZf2jzm6Kmbu5TPX9CEQkAvmXwDAGg9Q2Y,Leaves,Blue,Boony Hat,Umbrella,Bamboo Bong,Red Samurai Armour,Mud
4425,2,6885,53.21,https://solanart.io/nft/FFSdUaY617cDXCNvSTQbhe765unLeVsyG8YMjvU3jLWf,Leaves,Green,Black Ski Mask,Handgun,No Accessory,Solana Tshirt,Pink
4426,1,6833,63.44,https://solanart.io/nft/A8sz3qWggCxQBw1KVg3aUP6Seyk8sPDJyKt8QLJgA5CB,Salmon,Yellow,Green Headphones,Naginata,Gas Mask,Blue Wetsuit,Half Robotic
4431,0.999,5305,70.33,https://solanart.io/nft/8NvRcuzktH5DparcbYffFqJsoTQ4DavJGupYs48PdWH8,Purple,Blue,Boony Hat,Cyber Umbrella,Pipe,Green Flannel,Ghost
