id,price,moonRank,💎 score (%),storeURL,Biome,House color,House number,House style,Material,Openings color,Openings style,Precipitation,Roof color,Roof style,Sky,Street name
334 Solana Vista Drive,99,451,0,https://solanart.io/nft/JDFxKSYZiFBP8GrApE8DwbAebs9LasEckEz9CKotBnnk,Field,Green,334,Cottage,Brick,,Glass,,Yellow,Skylight,Night,Solana Vista Drive
339 Delray Circle,48.860001,2253,0,https://solanart.io/nft/3GcGaCMb3sWEb5f812Vooe5fwsnoTkrGMt7qEkCaoY7G,Beach,Blue,339,Cottage,,Blue,Shuttered,,Pale green,Tin,Day,Delray Circle
344 Pico Street,197.100006,113,0,https://solanart.io/nft/EHxQbyA6gF6dVboay9VZKAaVovdrB8jYnPTcW9AJYcuM,Arctic,Lavender,344,Cottage,Brick,,Glass,,Pale green,Skylight,Stormy,Pico Street
347 Lynwood Avenue,50,1378,0,https://solanart.io/nft/9N7DVs2xFpUjaiZaoEYABXfG4UyQXsSbeUdoeMEqmCM3,City,Blue,347,Mansion,,,Crystal,,Blue,Tin,Day,Lynwood Avenue
348 Pico Street,90,1290,0,https://solanart.io/nft/8b7aABUm3tzR8Rm9NAbfvpVYAhVdzxGBkhgySbpKZaf7,Beach,Blue,348,Cottage,Vines,,Glass,,Green,Skylight,Night,Pico Street
350 Grime Lane,54,865,0,https://solanart.io/nft/2eo7Kdq6APEoTubkHwB8aVitopQP2AJKyvthE53UFGZ3,Field,Yellow,350,Modern,Brick,Dark green,Shuttered,Rain,Dark green,Shingle,Day,Grime Lane
350 Sierra Avenue,67,2324,0,https://solanart.io/nft/9pim623nsf1gcYM2C3D3v9jvkMCGQKuAYFBtLEfTcjfo,Field,Red,350,Cottage,Brick,Pale green,Shuttered,,Green,Skylight,Day,Sierra Avenue
353 First Avenue,340,18,0,https://solanart.io/nft/A9h3zwEYWjJ9GYxMu1TjrmCZ4beGCzCrS21U3psk5xwU,Woods,Gold,353,Art Deco,Gold,Gold,Gold,,Gold,Gold,Day,First Avenue
361 First Avenue,53,821,0,https://solanart.io/nft/FJdwqD9ebL2DxbkqkoCRHhuXPfGkwpDFajbCLaagBqZU,Field,Blue,361,Mansion,,Yellow,Rounded,Rain,Dark green,Tin,Day,First Avenue
362 First Avenue,43,447,0,https://solanart.io/nft/7bXf2NoNqcbEpRwMLoXLNQ5pBWMR4UM8y3uwWQvWkx5G,Treehouse,Yellow,362,Art Deco,,Blue,Shuttered,,Dark green,Shingle,Stormy,First Avenue
364 Grime Lane,150,356,0,https://solanart.io/nft/GTe2dx9cTDoXEL3j7xHprE1tNYME1oHMvc3DRKufTJxB,Woods,Blue,364,Art Deco,Brick,Green,Shuttered,,Mix,Mushroom,Stormy,Grime Lane
367 Pico Street,125,130,0,https://solanart.io/nft/HisLQD9PsPNWALmmDYt9N5juKWt3QDoChvCTv3rX93E6,Treehouse,Lavender,367,Modern,Brick,,Occult,Rain,Blue,Skylight,Day,Pico Street
374 Bamboo Boulevard,888,19,0,https://solanart.io/nft/7uAXvEduPeYrfJWXzXQrmHHEEVVgwJKu83t8uSk29RsW,Desert,Gold,374,Mansion,Gold,Gold,Gold,,Gold,Gold,Day,Bamboo Boulevard
375 Grime Lane,51,1121,0,https://solanart.io/nft/4qBgHnL9riYjRwqRD8CH3o4WMYhMR4jahp2mi7a4qFrR,Underwater,Yellow,375,Cottage,Vines,Blue,Shuttered,,Green,Patio,,Grime Lane
376 First Avenue,69.690002,2370,0,https://solanart.io/nft/96gRnM5ubW6atv2Yn6mHKiRF8kVCHRpZCYXAPsueYmy,Desert,Green,376,Cottage,,Pale green,Shuttered,,Blue,Shingle,Day,First Avenue
384 Pico Street,69,1433,0,https://solanart.io/nft/FyyFBsvuu2kqKd9vEsDNR6bioKpB9JNdMBmJGtugzDHr,Mountain,Lavender,384,Cottage,Vines,Red,Rounded,,Blue,Skylight,Day,Pico Street
387 Bamboo Boulevard,45,1861,0,https://solanart.io/nft/6cLa938jznhYdJ4i8XubPwgsHD8rKS4df2ZGGLcNgwb6,Mountain,Yellow,387,Modern,Vines,Lavender,Shuttered,,Green,Shingle,Day,Bamboo Boulevard
387 Sierra Avenue,65.5,1730,0,https://solanart.io/nft/7A4iLWaykhbZ6xpTZRpuBk1dWhVkqE7nzsgbad8a3nR5,Field,Red,387,Modern,,,Glass,,Mix,Food,Night,Sierra Avenue
391 Bamboo Boulevard,44,1370,0,https://solanart.io/nft/FhPR5jpjUa8uJxrJrrsJ8r2aRrmPVnsvwNn4DAu8U2Kk,Woods,Red,391,Mansion,Vines,Blue,Rounded,,Red,Tin,Day,Bamboo Boulevard
393 Sierra Avenue,47.420689,277,0,https://solanart.io/nft/55jD8Wtows7CZ3tVJrRKL5Aqe2sJ22wa51mGikaHctF4,Beach,Pale green,393,Modern,Vines,Green,Rounded,,Mix,Food,Day,Sierra Avenue
393 Lamport Lane,89.989998,2163,0,https://solanart.io/nft/H46zyn9CsvqmNMerBuhdQRCkdFSRh8h8TFGvtdMHL6wQ,Field,Green,393,Cottage,,Yellow,Shuttered,,Green,Haunted,Day,Lamport Lane
394 First Avenue,100,1682,0,https://solanart.io/nft/BWusSA3kVNrX1Zso6AdSBNJoNmp5aLT9qZCg2msmPRcv,Field,Blue,394,Art Deco,,Green,Shuttered,Rain,Green,Tin,Day,First Avenue
399 Mint Mile,60.398998,1684,0,https://solanart.io/nft/A2X94Mxcet87Te3qAmmcA7RhmFyCSzbrSrDCk6Ebn88M,Treehouse,Yellow,399,Cottage,,Blue,Rounded,,Red,Skylight,Day,Mint Mile
