id,price,moonRank,💎 score (%),storeURL,Background,Body,Clothing,Eyes,Head,Holding,Mouth Nose Ears
3858,1.05,4789,72.97,https://magiceden.io/item-details/Aqfr4EC31i1Uar7JqZRTSWgMpoxutLYaZ6oMrZTQ9f8E,Green,Orange Scars,TShirt Green,None,Soldier Helmet,None,None
3876,0.36,5104,78.6,https://magiceden.io/item-details/96LJBQ3Uf1Z3gU4GrkNZG1Kca5euvouUYnuBDSv1oq8G,Red,Blonde Viking Tattoos,None,None,Orange Benie,Lumberjack Axe,None
3877,2,4346,65.25,https://solanart.io/nft/HN2PhbVrBkotDvgeCKNCeMdSv3kuuBHPgRpkZUEWY9Ha,Blue,White Viking Tattoos,None,None,Party Hat Gold,None,Silver Combination V5
3878,6.25,7721,9.19,https://solanart.io/nft/BMHibGuzysHq9CeaC7j7LK9Ebrwr6F5XJgJMSNe6HwKj,Light Green,Black,None,Bullminator Sunglasses,Normal Horns,None,None
3893,1.6,9059,50.32,https://magiceden.io/item-details/3tGG85PVzxGri8YkZEwsxSYp27VPGjSRfotRod35CAUK,Purple,Red Viking Tattoos,None,None,Commander Horns,None,None
3900,0.3,8764,64.5,https://magiceden.io/item-details/3Aw9LzbkwoHo99TGva9KqvQAhzN8FFHyeE3cVgL9GR2i,Green,Red Scars,None,Round Sunglasses,Normal Horns,None,None
3909,1.5,4459,69.79,https://solanart.io/nft/GrDRv3iYzbdZLh8JhzjGqy6cKv8uS7HdBVzPdNUkDZnw,Silver,Mecha Red,None,None,Normal Horns,None,Clown Nose
3922,1,7536,62.43,https://magiceden.io/item-details/GRw9EsH426daGton7h4f95aHRHV9NTWEPsykoU7ZJJXP,Red,White Scars,None,None,Normal Horns,Katana,None
3929,1.5,6434,61.86,https://magiceden.io/item-details/7khnfg358YcT1GR2Jz9u4jtz8MEKkmWJbgqygrndVMSR,Light Blue,Orange Scars,Prisoner Uniform,None,Two Tone Horns,None,None
3943,2,6696,55.81,https://solanart.io/nft/4Su4e24XBiazvjC9MyTqfWCp5uQqg2GvJVnYUkvubkQt,Yellow,Blonde Zombie,None,Viper Color,Normal Horns,None,None
3946,40,2335,0,https://solanart.io/nft/9Dr6FJUxV2b5ui57qiUVcTJAKgKrZ6EJHysq7ikULttX,Gray,Mecha Black,Bull of Steel Dark,None,Bronze Horns,None,None
3949,3.85,4813,44.87,https://solanart.io/nft/6bDogaf3phHMcLbkD2gpGtDxQj2FaMvybiykyZdWdthV,Yellow,Red Tattoos,None,None,Combat Horns,Miner Pick,None
3952,1.5,7298,58.39,https://solanart.io/nft/TG4YpS7SEsqCiYcyni75WTVsdKKiTUoan65ny9fR9sw,Bull of War,Red Scars,None,Round Sunglasses,Normal Horns,None,None
3960,4.5,7587,27.23,https://solanart.io/nft/BLKqY6vxNVpzd8jKJ6xnPwSR1jhnce6J7458WyxXLPAi,Gray,Blonde Zombie,None,None,Bulladdin Hair,None,None
3964,0.95,7817,61.81,https://solanart.io/nft/Gmc3E8RH9ABCQNXisD9PQqJrahfSYyR58WQ6t7uVVLDq,Yellow,White Scars,None,None,Pharaoh,None,None
3975,4.99,2625,42.26,https://solanart.io/nft/ECjLXq6yD3bv39LQQyDaiJGr5jVgF8Y9dKWdawMsgxqq,Light Blue,Bullminator Exposed,Pharaoh Clothing,None,Gray Cap,None,None
3984,4,372,61.21,https://solanart.io/nft/FXJTs1ombeLrXbvbCasZAESbNEg69p7eq651CFmEq1hd,Green Blue,Blonde Scars,Sleeveless Gray,VR White,Normal Damaged Horn,None,Silver Combination V6
3990,2.4,2976,66.75,https://solanart.io/nft/23ecScG3qbrfJYv3nfpcxtDftm9b2WrQqS7i4kyvd4re,Red,White Tattoos,TShirt Orange,Taurus Eyes,Two Tone Horns,None,None
4004,6.5,9003,1.54,https://solanart.io/nft/8ufArRRVWuAtzp333kgswaeZoSjLj3R8RjkdsWXz4yux,Blue,Mecha Bronze,None,None,Two Tone Horns,None,None
4044,1.25,6334,64.76,https://solanart.io/nft/AAceJkZAuhEf7stBmPz9BcYkP2wm3qYaFGHDCZMA1Gvh,Yellow,White,TShirt Pink,None,Old Beret,None,None
4048,1.1,3551,77.44,https://magiceden.io/item-details/4VzVCPWgcZYE1BXcgeBD6cGtZ6Y17qZYWhV7MVarpuS4,Gray,Red Viking Tattoos,None,Reading Glasses White,Normal Horns,Viking Shield,None
4058,6.25,1905,32.55,https://solanart.io/nft/4VN3ZqNZZbGDJRNQnvazx42ZeY2aaVRCzJkWME1LQpnH,Blue,Blonde,Basketball Jersey,Sunglasses,Normal Horns,Bullminator Shotgun,None
4074,4,4911,42.98,https://solanart.io/nft/B2f2RsaJnMKtCGeTyjfrttBh3AA8oR2u1nYwUHAqtw2v,Red,White Zombie,TShirt Pink,None,Camo Cap,None,None
4087,3,6974,44.69,https://solanart.io/nft/EZDZntuwKjJ9HxuRbkvy9jyrK7xqfiSnqHtKePGqF2EM,Orange,Blonde Tattoos,None,None,Two Tone Horns,Katana,None
